Qty,Num,Rarity,Name,Type,Subtype/Allegiance,Attribute,Effect,Lore,Politics Ability,Intrigue Ability,One Power Ability,Combat Ability,Politics Cost,Intrigue Cost,One Power Cost,Combat Cost
,9,R1,Be'lal (II),Character,Dark One,Forsaken,"Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  You may initiate the Callandor challenge if the Dragon Reborn is in play.  If the challenge is successful, place the Callandor advantage on Be'lal.  If it is unsuccessful, place it on the Dragon Reborn.  As an event, discard this card to add 5 support to the Callandor challenge.",I confess surprise that you cared enough to make them useful.,,2,4,4,,,4,
,38,R1,Graendal (II),Character,Dark One,Forsaken,"Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  When Graendal rotates to heal, you may reveal any number of cards in your hand with the name Graendal.  For each card revealed, remove an additional point of damage from Graendal.  As an event, discard from your hand to remove up to 2 damage from your starting character.",They won't speak out of turn.  They worship me.  Don't you?,3,3,4,,,,4,
,53,R1,Ishamael (II),Character,Dark One,Forsaken,"Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used for recruiting.  As an event, rotate to add a token to a contested advantage, or rotate and discard from play to add 5 tokens to a contested advantage.  As an event, discard from your hand to add a token to a contested advantage.","Do you serve yourself now, Lanfear?  Have you abandoned your oaths to the Great Lord of the Dark?",1,2,5,1,,,4,
,96,R1,Rahvin (II),Character,Dark One,Forsaken,"Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit characters and troops with the Dark One allegiance.  As an event, rotate and target a non-Monster character you control.  Symbols generated by the target gain all allegiances until the end of the turn.  As an event, discard from your hand to search your deck for a Forsaken, and place it in your hand.",Now she reports exactly what I want her to…,3,2,4,,,,4,
,58,R1,Lanfear (II),Character,Dark One,"Forsaken,Dreamwalker","Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  While Lanfear is participating in a challenge, if a participant whose highest permanent ability is 2 or less receives exactly 1 damage from a damage pool.  It takes an extra point of damage.  As an event, discard from your hand to remove all damage from a Dreamwalker.",…why share the honor and the rewards further than need be?,2,2,5,,,,4,
,83,R1,Moghedien (II),Character,Dark One,"Forsaken,Dreamwalker","Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  This card may be recruited if it is in your killed pile.  If a copy of this card is in your killed pile, you may recruit this card for no cost.  As an event, discard from your hand to place a point of damage on a non-starting Dreamwalker character.",All my careful planning ruined.,1,2,4,,,,3,
,3,U,Alanna Sedai,Character,Aes Sedai,"Green Ajah,Bonded to Ihvon,Bonded to Owein","As an event, Alanna may pay [One Power] to generate [Combat].",Do you have any idea how many towns and villages we usually must visit to find three girls with the ability inborn?,2,1,2,,1,,1,
,100,R2,Rhadam Asunawa,Character,Children of the Light,High Inquisitor,"As an event, target another player and pay an ability symbol generated by Rhadam Asunawa.  The target removes an ability symbol of the same type from his pool (if possible).","His gaunt face was a picture of martyred suffering, so that his sweat might have been taken for tears, but his deep-set eyes semed to burn with the heat that had boiled away all his spare flesh.",2,3,,,1,2,,
,56,R2,King Mattin Stepaneos,Character,Illian,King of Illian,"When you recruit this card, you may search your deck for the Illian nation contested advantage and place it in your hand.  The King of Illian gains +1 Politics, Intrigue, and Combat while you control the Illian nation contested advantage.","The King and the Council of Nine duel with each other, and the Assembly struggles with both...",3,1,,2,3,1,,1
,8,R2,Bayle Domon,Character,Illian,Light Nature,"As a limited event, rotate and target any number of characters and/or troops you control which are participating in the same challenge.  The targets are moved to your homefront, and are no longer participating in the challenge.","My name be Bayle Domon, captain and owner of the Spray, which be this ship…",2,2,,2,1,1,,1
,35,R2,Gawyn,Character,Andor,Light Nature,"Ability symbols with the Aes Sedai allegiance may be used to recruit Gawyn without causing an allegiance penalty.  Gawyn may participate in the Tar Valon contested challenge.  If you control The Younglings, they have +1 Combat.","…my mother always used to say, ""Even a queen must obey the law she makes, or there is no law.""",1,1,,3,1,,,2
,70,U,Lord Dobraine,Character,Cairhien,Light Nature,"As a limited event, Lord Dobraine may pay any 2 ability symbols he generated to add [Politics], [Intrigue], or [Combat] to your pool.  These symbols have the Cairhien alelgiance.",The colorful slashes down the chest of his coat were worn from a breastplate being buckled over them.,1,2,,2,1,1,,1
,74,R2,Lord Gregorian Panar,Character,Illian,"Light Nature,Council of Nine","As an event, rotate to give each member of the Council of Nine +1 to his highest current ability (you choose one of the tied abilities, if tied), until the end of the turn.","Rand had seen the Illianer in the thick fighting leading his men, shouting encouragement and laying his sword about with wild abandon...",2,1,,1,2,,,
,29,R2,Elayne the Accepted,Character,"Aes Sedai,Andor","Light Nature,Daughter-Heir,Accepted,Bonded to Birgitte","Replace Elayne Trakand.  As an event, rotate to search your deck for Min and/or Aviendha and place them in your hand.  This card does not count as a character card for starting hand selection purposes.","Are you a loyal subject of Andor?  Do you not wish to serve the Lion Throne, and your Daughter-Heir?",3,1,2,,,,,
,5,U,Bair,Character,Aiel,"Light Nature,Wise One,Shaarad Aiel,Dreamwalker",All Dreamwalker characters you control gain +1 Intrigue.,"Put on a dress and come to me, and I will see if you can be trained.  Until then, be silent when Wise Ones speak!",2,1,,,2,1,,
,114,U,Sulin,Character,Aiel,Maiden of the Spear,"Symbols generated by this character may not be used for recruiting.  When you recruit Sulin, target a character you control.  As an event, rotate this card to move up to 3 damage from the target to Sulin.","I am what I am.  This is what I am.  I am the spear.  When a lover came between me and the spear, I chose the spear.",1,,,3,1,,,1
,140,C,Trolloc Guard,Troop,Dark One,Monster,"As an event, rotate and kill this troop to remove up to 2 damage from a character you control with the Dark One allegiance.","Head and shoulders taller than the tallest man there, they were a stomach-turning blend of man and animal, human faces twisted and altered.",,,,2,,,,1
,141,C,Trolloc Horde,Troop,Dark One,Monster,This troop may only participate in challenges you initiate.,"The forces of the Dark One filled the other end of the pass, bristling black pikes and spearpoints swelling up onto mountain slopes made blacker still by the great mass of Trollocs that dwarfed the army of Shienar.  Fades in hundreds rode across the front of the horde.",,,,5,,,,1
,12,C,Cairhien Guard,Troop,Cairhien,Multiple,"As an event, rotate this card and target a troop participating against this troop to blank the effect text of the target until the end of the turn.",Cairhienin in dark coats and battered breastplates and helmets like bells cut away to expose their faces.,,,,3,,1,,1
,17,C,Child of the Light,Character,Children of the Light,Multiple,"As an event, rotate to reduce the cost of the next card you recruit this turn with the Chldren of the Light allegiance by one ability symbol of your choice.  (This reduction applies after all other modifiers.)","The Children have authority wherever the Light is, witch, and where the Light is not, we bring it.",1,,,1,,,,1
,20,U,Combined Army,Troop,,Multiple,"There is no cost to recruit this troop.  If you do not discard from play 2 non-Monster troops you control with different allegiances when you recruit this troop, kill it immediately.  This troop has the same allegiance(s) as your starting character.","In all of the individual camps across the heath, wagons and carts were being loaded, horses saddled.",,,,6,,,,
,45,C,Hunting Party,Troop,Aiel,Multiple,"As an event, you may remove [2x Damage] generated by this troop from your troop damage pool to add [Damage] to your character damage pool.",Wash the spears - Who fears to die? Wash the spears- No one I know!,,,,4,,,,2
,47,C,Illian Lancers,Troop,Illian,Multiple,All damage generated by this troop must be assigned to a single opposing troop (even if this would be more damage than is required to kill the opposing troop).,"A mile west of the ridge, the camps began, men and horses and cookfires…",,,,4,1,,,1
,48,C,Illian Spearmen,Troop,Illian,Multiple,"As an event, rotate this card while at the battleground to remove 1 point of damage from it.","…is still bringing more men up?  …Every man in Illian who can hold a spear without tripping over it, or so it seems.",,,,3,,,,1
,95,U,Questioner,Character,Children of the Light,Multiple,"If another player recruited a character with the Dark One or Aes Sedai allegiance this turn, you may rotate this card and discard a card in your hand as an event to draw a card.","The Questioners always have their reasons, even when they do not tell the rest of us.",1,1,,,,1,,
,102,R3,Saboteurs,Troop,Mercenary,Multiple,"As an event, rotate Saboteurs and target a troop controlled by another player.  Roll Saboteurs' dice and apply any damage to the target.  The target may then roll its dice and apply any damage to Saboteurs.","They were a mismatchhed lot, some in steel caps, three wearing leather shirts sewn with steel scales, rough-faced men, possibly deserters from the army…",,,,2,,1,,
,109,C,Soldier of War,Character,Mercenary,Multiple,"As an event, rotate to search your deck for the first contested advantage, and place it in your hand.","Attack on ground where your enemy believes you are not, from an unexpected direction at an unexpected time.",,,,3,,,,2
,30,U,Eyeless,Character,Dark One,"Multiple,Monster,Myrddraal","Symbols generated by this character may not be used for recruiting.  As a limited event, rotate and target a character or troop participating in a challenge.  The target rolls one less die than normal for each ability.","He wanted to run, but it was all he could do to make his feet take one halting step at a time.  He could not break free of that eyeless gaze…",,,,3,,,1,1
,40,C,Half Legion,Troop,Children of the Light,"Multiple,Reinforcement","Once per turn, as an event, you may rotate a character you control with the Children of the Light allegiance and target this troop to give this troop +1 Combat until the end of the turn.","…cloaks with the golden sunburst bright, helmets and armor gleaming, lance points shining, a long column of fours that stretched back between the nearest houses.",,,,3,,,,1
,64,C,Light Brigade,Troop,Children of the Light,"Multiple,Reinforcement","The Light Brigade is recruited into the battleground.  At the start of the draw round, this card is returned to its owner's hand.","…a double column of maybe a hundred mountain men, pristine and precise, trailed off toward the Waterwood at a brisk walk, lances all at the same angle.",,,,2,,,,1
,147,U,Warders,Troop,Aes Sedai,"Multiple,Warder","Once per turn, as an event, you may target a character you control with the Aes Sedai allegiance participating in the same challenge as this troop to move up to 4 damage from the target to this troop.","Round faces, square faces, long faces, narrow faces, they all had the look, as if they saw things other men did not see, heard things other men did not hear.  Standing at their ease, they looked as deadly as a pack of wolves.",,,,4,,,2,
,46,U,Illian,Advantage,World,Nation Contested Advantage,"If you control Illian, as an event you may rotate this card to target an Illian troop you control.  If the target rotates to heal this turn, remove all damge from it.  If you control Illian by 5 or more, you may rotate characters as you recruit them and roll their dice to generate ability symbols.  These symbols are added to your pool.","…the Illianers would follow the Dragon, or Ba'alzamon himself, if he came bearing the Horn of Valere…",,,,,,,,
,121,R2,The Great Lord Comes,Advantage,Player,Prophecy,"Requirements: Initiate and win 3 card-based challenges, and recruit 3 Forsaken.  Benefits: During the Last Battle, you may discard this card as an event to place 6 damage on each of 3 different characters participating in the challenge.",Swift come the Great Lord of the Dark to guide us and rule the world forever and ever.,,,,,,,,
,128,R2,The Lord of Chaos,Advantage,Player,Prophecy,"Requirements: A Forsaken you control rolls [3x One Power].  Benefits: While participating in card-based challenges, characters you control additionally generate [Support] [Opposition] when they roll their dice.","Then listen, and serve.  Hear who will die and who will live.",,,,,,,,
,133,R2,The Shadows Rising,Advantage,Player,Prophecy,"May only be played by a Villain player.  Requirements: Have 3 more pattern than when you played this card.  Benefits: Gain a pattern, search your deck and remove up to 10 cards of your choice from the game, and you may take a card from your discard pile and place it in your hand for each 3 tokens on your section of the pattern.","The Shadow shall rise across the world, and darken every land, even to the smallest corner, and there shall be neither Light nor safety.",,,,,,,,
,134,R2,The Stone Shall Fall,Advantage,Player,Prophecy,"Requirements: Initiate the Callandor challenge, and win it by 5.  Benefits: Search your deck for up to 5 cards with the Tear allegiacne and put them directly into play in your homefront.","And it was written that no hand but his should wield the Sword held in the Stone, but he did draw it out, like fire in his hand, and his glory did burn the world.",,,,,,,,
,142,R2,Twice Shall He Be Marked,Advantage,Player,Prophecy,"Requirements: Initiate and win 2 Pattern Challenges in which the Dragon Reborn is your only participating character and has the Heron-Mark Blade character advantage. Benefits: All Villain players discard their hands, place the top 10 cards of their deck into their discard pile, and may not ready any cards next turn.","Twice and twice shall he be marked, twice to live and twice to die.",,,,,,,,
,1,R2,A New Empire,Advantage,Player,"Prophecy,Repeatable","May only be played by a Hero player.  Requirements: Control a target nation contested advantage by 5 or more.  Benefits: As an event, you may rotate the target to fill your hand to your maximum hand size and move a neutral token to your section of the Pattern (if possible).  These benefits may only be gained once for each nation contested advantage.","For two generations, while the great ships were built to carry the Return, the Ever Victorious Army had trained and prepared.",,,,,,,,
,26,U,Defenders of the Stone,Troop,Tear,Reinforcement,"As an event, you may move this troop from your homefront to the battleground.  This troop may only participate in the Tear nation contested challenge or in a challenge that targets you or a card you control.","A ring of fifty Defenders stood rigidly in the middle of the room, breastplates and rimmed helmets gleaming, spears all slanted at exactly the same angle.",,,,5,1,,,
,62,R2,Legion,Troop,Children of the Light,Reinforcement,"As a limited event, rotate and kill an undamaged troop you control with the Mercenary allegiance to remove all damage from this troop.",The legion will advance at a trot.  The legion will charge!,,,,6,1,,,2
,118,R2,The Companions,Troop,Illian,Reinforcement,"As an event, while participating in a challenge, you may remove 1 point of damage generated by this troop to remove 1 point of damage from any troop damage pool.",Hooves thundered past Rand on either side in thick streams.  Galloping north toward the Seanchan.,,,,6,2,,,1
,32,U,Far Dareis Mai,Troop,Aiel,"Reinforcement,Maiden of the Spear","Once per turn, as an event, you may target a character you control with the Car'a'carn character advantage participating in the same challenge as this troop to move up to 3 damage from the target to this troop.",Far Dareis Mai carries my honor.,,,,3,,,,1
,44,U,Hopper,Character,Mercenary,"Reinforcement,Wolf","You must control a Wolfbrother to bring Hopper into play.  Discard Hopper if you do not control a Wolfbrother.  Hopper cannot be the target of advantages.  Ability symbols generated by Hopper are ignored.  If Hopper is placed in a killed pile, all Wolfbrothers you control permanently gain the trait Dreamwalker.","He was sure he knew the wolf whose thoughts he heard.  Hopper, who had envied the eagles.",,,,3,,,,1
,104,R2,Sebban Balwer,Character,Children of the Light,Spymaster,"During the determine participation step, target any number of characters or troops in the battlefield, up to the number of tokens on your section of the pattern.  For each target, its controller must reveal to you which challenge it will be participating in, or if it will be standing down.","Even Omerna himself did not know he was but a decoy to keep eyes away from the true master of spies, a man known only to Niall himself.  Sebban Balwer, Niall's dry little stick of a secretary.",,4,,,1,2,,
,97,R2,Rand al'Thor (V),Character,Dragon,"Starting Hero,Dragon Reborn,Ta'veren","If the Dragon Reborn rolls at least [2x One Power], he permanently gains +1 One Power to a maximum of 4.  As a limited event, rotate to generate [2x Politics] [Intrigue] [Combat].",The Prophecies will be fulfilled… The Dragon is Reborn.,,,2,2,,,,
,98,R2,Rand al'Thor (VI),Character,Dragon,"Starting Hero,Dragon Reborn,Ta'veren","If the Dragon Reborn rolls at least [Politics], he permanently gains +1 Politics to a maximum of 3.  If the Dragon Reborn rolls at least [Combat], he permanently gains +1 Combat to a maximum of 3.  The first time the Dragon Reborn rolls at least [2x One Power], he permanently gains +1 One Power.","The Dragon shall be Reborn, and there shall be wailing and gnashing of teeth at his rebirth…",1,,3,1,,,,
,99,R2,Rand al'Thor (VII),Character,Dragon,"Starting Hero,Dragon Reborn,Ta'veren","The first time the Dragon Reborn rolls at least [2x One Power], he permanently gains +1 One Power.  If the Dragon Reborn generates less than 3 ability symbols when he rolls his dice, he additionally generates [One Power] [Politics].","…yet shall the Dragon Reborn confront the Shadow at the Last Battle, and his blood shall give us the Light.",1,1,2,2,,,,
,103,R2,Sammael (I),Character,Dark One,"Starting Villain,Forsaken","Once per turn, as a limted event, you may pay [2x Combat] from your pool to search your deck for the first troop advantage, and place it in your hand.  If you control no Monsters, Sammael rolls an additional 2 Combat dice when he rolls his Combat dice while participating in a challenge with a troop you control.","I won't destroy what belongs to me killing you, and I won't let you destroy it, either.  You had the nerve to come after me here?  Do you have the courage to follow me again?",,1,4,3,,,,
,80,R2,Mat the Gambler,Character,Dragon,Ta'veren,"Replace Mat Cauthon.  You may reroll up to three of Mat's dice each turn (immediately after making his initial roll, the old results are ignored).  As an event, Mat may pay any 2 ability symbols he generated to remove 1 point of damage from himself.  Mat the Gambler also has all of the Dragon Reborn's allegiances.","He had always won more than he lost, as far as he could remember, and there had been times with Hurin, and in Shienar, when six or eight tosses in a row won for him.  Tonight, every toss won.",,3,,2,,,,
,22,U,Consumed by the Blight,Event,,Terrain,"Target a card-based challenge.  Only one terrain card may target each challenge.  When rolling their dice while participating in the challenge, all Monsters roll an additional Combat die.","Mile by mile the corruption of the Blight became more apparent.  Leaves covered the trees in ever greater profusion, but stained and spotted with yellow and black, with livid red streaks like blood poisoning.",,,,,,,,
,25,U,Deep Waters,Event,,Terrain,"Target a card-based challenge.  Only one terrain card may target each challenge.  Myrddraal, Trolloc characters, and Trolloc troops may not participate in the target challenge.",Trollocs and Myrddraal loathe deep water.  Trollocs are terrified of it.  Neither can swim.,,,,,,,,
,84,C,Narrow Pass,Event,,Terrain,Target a card-based challenge.  Only one terrain card may target each challenge.  Each player may only participate in the target challenge with a maximum of 2 characters and 2 troops.,"Under the looming Spine of the World, Rand guided Jeade'en up the stony slope from the foothills that began the foot of the Jangai Pass.",,,,,,,,
,150,R2,Young Bull,Character,Dragon,"Wolfbrother,Ta'veren,Reinforcement","Replace Perrin Aybara.  All Wolf characters and troops you control have +1 Combat.  As an event, Young Bull may convert 1 point of character damage he generates into 1 point of troop damage.  Young Bull also has all of the Dragon Reborn's allegiances.","They have caged Shadowkiller, he thought at last… That was what the wolves called Rand…  We come, Half Tailed replied at last.  We come.",1,,,4,,,,
,2,C,Advanced Maneuvers,Challenge,,,"If successful, no cards controlled by any other player may participate in a card-based challenge you initiate next turn.","I think it's a deadly stew, is what I think.  Somebody's going to choke to death on it.  The Light send it isn't us.",,,,,,,,
,4,R1,Asmodean (II),Character,Dragon,,"Only ability symbols generated by the Dragon Reborn may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  As an event, rotate to give the Dragon Reborn +2 One Power until the end of the turn.  As an event, discard from your hand to give the Dragon Reborn +3 One Power until the end of the turn.",He had the courage for an ambush he thought would set him above the rest of us.,,2,1,,,,2,
,6,R3,Balefire,Event,,,"Play during the Opening Moves step of a challenge.  Symbols used to pay for this card must all come from the same character.  Roll 2 One Power dice when you play this card.  If you roll [2x One Power], kill your starting character.  Target a non-starting charcter participating in the challenge.  The target is killed.  If the target has the Ta'veren ability to prevent damage, its controller may convert 2 pattern to negate the effects of this event to the target.","Since before the Breaking of the World, the use of Balefire has been forbidden.",,,,,,,3,
,7,C,Battle Plan,Advantage,Player,,"When you win a card-based challenge you initiated which did not directly give you pattern, place a token on this card.  During the Last Battle, you additionally generate [Support] [Opposition] for each token on this card.  As an event, rotate this card during the action round to remove a point of damge from a card you control for each token on this advantage.",Simple plans were best…,,,,,,,,
,10,U,Blockade Runners,Troop,Illian,,"While participating in a card-based challenge, this troop additionally generates [3x Opposition] when it rolls its dice.","Surely, Captain, you would be willing to sail along the shoreline for a thousand gold marks.",,,,4,1,1,,1
,11,R3,Blood and Ashes,Advantage,Player,,"You may rotate your starting character to play this card for free, instead of paying its printed cost.  When you play this card, name an event; no copy of that event may be played while this card remains in play.  If any player discards a copy of the named event, discard this card.",Blood and ashes!  Blood and bloody ashes!,,,,,,,1,
,13,U,Cairhien Veterans,Troop,Cairhien,,"As an event, pay any 2 ability symbols with the Cairhien allegiance to remove 1  point of damage from this troop.",Soldiers always ate well and often when they could; campaigning usually brought scant meals.,,,,5,2,,,1
,14,U,Captain Caldevwin,Character,Cairhien,,"All Cairhien Horsemen troops you control permanently gain the trait Multiple, and roll an additional Combat die when they roll their dice while participating in a challenge with Captain Caldevwin.",We have so few strangers here that I find I wish to know every one.,1,1,,3,,1,,2
,15,C,Charismatic Leader,Advantage,Player,,Target a Forsaken you control.  Choose an allegiance of a troop you control (if any).  The target gains +1 Politics and the chosen allegiance.  Discard this card if you control a Monster.,"It seems Gaebril has been named King of Andor.  And Cairhien, too, for that matter.",,,,,,,,
,18,C,Circle of Light,Advantage,Player,,"When you recruit a non-Wolf Mercenary card, it permanently gains the Children of the Light allegiance.  Discard all non-starting characters and troops you control which do not have the Children of the Light allegiance.  At the resolution of the Last Battle gain an additional [Support] [Opposition] for each token on the neutral section of the pattern.","Tattered wall hangings, once battle banners of the enemies of his youth, faded into dark wood paneling laid over stone walls, thick even here in the heart of the Fortress of the Light.",,,,,,,,
,19,C,Combat Training,Advantage,Player,,"As an event, rotate this card and a troop you control.  Roll the troop's current dice.  If the troop generates a number of [Combat] greater than or equal to 1 less than its permanent Combat ability (minimum 1), it gains +1 Combat permanently.","Spaced across the open ground, pairs of men, most stripped to the waist, flailed at each other with more practice swords.",,,,,,,,
,21,R3,Conquest,Challenge,,,"When you reveal this challenge, search your deck for a contested advantage not in play, and place it in your hand.  If successful, place 2 tokens on each nation contested advantage in play.  If you succeed by 5 or more, return all copies of Conquest in your discard pile (not including this one) to your hand.","With you to lead us, my Lord Dragon, we shall conquer the world!",,,,,,,,
,24,R3,Dark Subversion,Challenge,,,"Only a Vilain player may intiate this challenge.  If successful, search your deck for a Darkfriend character advantage, a character with the Dark Nature trait, and/or a troop with the Dark Nature trait, and place them in your hand.",Friends of the Dark -- Darkfriends they were called now -- had begun learning just how strictly they would be kept to their vows now that Rahvin and the others were freed.,,,,,,,,
,27,C,Dragonmount,Advantage,Player,,"May only be played if you control the Dragon Reborn.  Search your deck for the first advantage card and place it in your hand when you play this card.  During the Opening Moves and Coming to Grips steps of a card-based challenge, you may remove an amount of damage from any character or troop damage pool up to the number of different allegiances possessed by characters and troops you control.",…let the Promised One be born of a mountain…,,,,,,,,
,28,C,Draw Him Out,Challenge,,,"Target a non-starting, non-Ta'veren character you do not control.  If this challenge succeeds it becomes a character advantage on the target with the following text: At the start of the resolution round the target is moved to the battleground and becomes a participant in the Pattern or Last Battle Challenge (and is no longer a participant in any other challenges).  Discard this card if the target is a particpant in the Pattern Challenge during the action round.",He tried to bait me into attacking him once in the same way…,,,,,,,,
,36,R3,Genocide,Challenge,,,"Choose an allegiance.  When it is revealed, this challenge gains additional opposition equal to the number of cards in play with the chosen allegiance.  If successful, place 1 point of damage on each character and 2 points of damage on each troop with the chosen allegiance.  Any character card damaged by Genocide may not rotate to heal next turn.","There was no hesitation; as one they surged forward, howling and rabid, waving pitchforks and swords, axes and clubs, anything that could be taken to hand for a weapon.",,,,,,,,
